"id","gender","role","language_english","duration_in_days","publications","organic_tweets","follower_global","followees_global","follower_researcher","follower_researcher_phd","follower_researcher_prof","follower_researcher_male","follower_researcher_female","follower_researcher_male_phd","follower_researcher_male_prof","follower_researcher_female_phd","follower_researcher_female_prof","follower_reciprocal_researcher","follower_reciprocal_researcher_phd","follower_reciprocal_researcher_prof","follower_reciprocal_researcher_male","follower_reciprocal_researcher_female","follower_reciprocal_researcher_male_phd","follower_reciprocal_researcher_male_prof","follower_reciprocal_researcher_female_phd","follower_reciprocal_researcher_female_prof","screen_name","real_name","dblp_url","twitter_screen_name","location0x2Eexists","has0x2Eurl","url0x2Ehas0x2Etilde","url0x2Ehas0x2Eacademic0x2Edomain","has0x2Edescription","description0x2Ehas0x2Epattern","language","default0x2Eprofile0x2Eimage","nof0x2Etweets","nof0x2Efollowers","nof0x2Efriends","friend0x2Efollower0x2Eratio","nof0x2Eself0x2Etweets","nof0x2Eretweets","retweet0x2Etweet0x2Eratio","nof0x2Etweets0x2Ewith0x2Eurl","fraction0x2Eof0x2Etweets0x2Ewith0x2Eurl","nof0x2Econf0x2Ehashtags","nof0x2Edistinct0x2Ehashtags","nof0x2Eoverall0x2Ehashtags","fraction0x2Eof0x2Edistinct0x2Ehashtags","nof0x2Econf0x2Ementions",
12249,"male  ","NA       ",1,2605,"9  ",1121,9196,743,23,2,0,16,3,2,0,0,0,3,0,0,2,1,0,0,0,0,"benward        ","Ben Ward              ","http://dblp.uni-trier.de/pers/hd/w/Ward:Ben.html              ","benward        ","True ","True ","False","False","True ","False","True ","False",18854,9196,743,0.0808,"2887","309 ","0.0967","476 ","0.1489","10   ","153 ","207  ","0.7391","2 ",
12270,"male  ","NA       ",1,2605,"3  ",210,226,496,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"adverteasement ","Andrew Newton         ","http://dblp.uni-trier.de/pers/hd/n/Newton:Andrew.html         ","adverteasement ","True ","True ","False","False","True ","True ","True ","False",2612,226,496,2.1946,"1959","634 ","0.2445","700 ","0.27  ","55   ","601 ","849  ","0.7079","6 ",
12876,"male  ","NA       ",1,2601,"4  ",815,6340,1079,169,20,6,97,14,7,4,3,0,33,0,3,23,4,0,2,0,0,"edd            ","Edd Dumbill           ","http://dblp.uni-trier.de/pers/hd/d/Dumbill:Edd.html           ","edd            ","True ","True ","False","False","True ","False","True ","False",8023,6340,1079,0.1702,"2275","922 ","0.2884","1048","0.3278","542  ","271 ","801  ","0.3383","12",
13127,"male  ","NA       ",1,2599,"3  ",863,1908,806,113,15,4,75,17,10,2,1,2,40,1,0,29,7,1,0,0,0,"iand           ","Ian Davis             ","http://dblp.uni-trier.de/pers/hd/d/Davis:Ian.html             ","iand           ","True ","True ","False","False","True ","False","True ","False",22364,1908,806,0.4224,"2037","1147","0.3602","1177","0.3697","233  ","284 ","480  ","0.5917","2 ",
13350,"male  ","NA       ",1,2598,"1  ",1302,22051,3,10,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"daveying99     ","David Haddad          ","http://dblp.uni-trier.de/pers/hd/h/Haddad:David.html          ","daveying99     ","True ","True ","False","False","True ","True ","True ","False",4597,22051,3,0.0001,"2890","305 ","0.0955","2205","0.6901","35   ","157 ","197  ","0.797 ","4 ",
13447,"male  ","professor",1,2597,"27 ",414,895,714,58,19,7,27,17,13,5,3,0,35,10,6,18,10,7,4,1,0,"patrickgage    ","Patrick Gage Kelley   ","http://dblp.uni-trier.de/pers/hd/k/Kelley:Patrick_Gage.html   ","patrickgage    ","True ","True ","False","False","True ","True ","True ","False",5560,895,714,0.7978,"2988","210 ","0.0657","408 ","0.1276","174  ","225 ","495  ","0.4545","8 ",
13567,"male  ","NA       ",1,2597,"1  ",2036,33071,1170,82,6,2,48,8,1,2,1,0,6,0,0,4,0,0,0,0,0,"codepo8        ","Christian Heilmann    ","http://dblp.uni-trier.de/pers/hd/h/Heilmann:Christian.html    ","codepo8        ","True ","True ","False","False","True ","True ","True ","False",76177,33071,1170,0.0354,"3088","111 ","0.0347","1813","0.5667","74   ","174 ","298  ","0.5839","3 ",
18713,"male  ","NA       ",1,2595,"1  ",822,39746,237,147,17,7,91,10,7,5,3,0,10,0,1,10,0,0,1,0,0,"al3x           ","Alex Payne            ","http://dblp.uni-trier.de/pers/hd/p/Payne:Alex.html            ","al3x           ","True ","True ","False","False","True ","True ","True ","False",27339,39746,237,0.006,"2791","400 ","0.1254","746 ","0.2338","30   ","84  ","128  ","0.6563","4 ",
27763,"male  ","NA       ",1,2590,"2  ",54,46,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"drossy         ","Derek Ross            ","http://dblp.uni-trier.de/pers/hd/r/Ross:Derek.html            ","drossy         ","True ","True ","False","False","True ","True ","True ","False",963,46,120,2.6081,"962 ","2   ","0.0021","19  ","0.0197","13   ","16  ","45   ","0.3556","0 ",
32193,"male  ","NA       ",1,2588,"1  ",516,1384,1035,5,0,0,3,1,0,0,0,0,3,0,0,2,1,0,0,0,0,"PaulDJohnston  ","Paul Johnston         ","http://dblp.uni-trier.de/pers/hd/j/Johnston:Paul.html         ","PaulDJohnston  ","True ","True ","False","False","True ","True ","True ","False",13346,1384,1035,0.7478,"2912","275 ","0.0863","361 ","0.1133","136  ","349 ","756  ","0.4616","4 ",
32973,"male  ","professor",1,2588,"3  ",169,856,235,38,4,11,15,15,1,4,2,5,21,0,8,10,9,0,3,0,4,"niftyc         ","Christian Sandvig     ","http://dblp.uni-trier.de/pers/hd/s/Sandvig:Christian.html     ","niftyc         ","True ","True ","False","False","True ","True ","True ","False",2589,856,235,0.2745,"2259","334 ","0.1288","197 ","0.076 ","359  ","375 ","1839 ","0.2039","3 ",
42283,"NA    ","NA       ",1,2583,"7  ",0,541,346,2,0,1,1,0,0,1,0,0,2,0,1,1,0,0,1,0,0,"rb             ","Rajesh Balakrishnan   ","http://dblp.uni-trier.de/pers/hd/b/Balakrishnan:Rajesh.html   ","rb             ","True ","True ","False","False","True ","True ","True ","False",990,541,346,0.6395,"973 ","17  ","0.0172","4   ","0.004 ","45   ","36  ","99   ","0.3636","1 ",
44423,"male  ","NA       ",1,2582,"1  ",268,32164,555,153,15,9,96,9,6,8,0,0,16,0,0,11,3,0,0,0,0,"cdibona        ","Chris Dibona          ","http://dblp.uni-trier.de/pers/hd/d/Dibona:Chris.html          ","cdibona        ","True ","True ","False","False","True ","False","True ","False",4003,32164,555,0.0173,"2865","328 ","0.1027","288 ","0.0902","43   ","234 ","364  ","0.6429","11",
49793,"male  ","NA       ",1,2580,"1  ",326,92659,655,245,32,19,134,30,13,8,3,3,21,0,2,12,6,0,1,0,1,"jimmy_wales    ","Jimmy Wales           ","http://dblp.uni-trier.de/pers/hd/w/Wales:Jimmy.html           ","jimmy_wales    ","True ","True ","False","False","True ","True ","True ","False",5330,92659,655,0.0071,"2258","931 ","0.2919","1064","0.3336","122  ","304 ","455  ","0.6681","7 ",
51673,"male  ","NA       ",1,2580,"5  ",1091,997,396,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"madwilliamflint","Mike Wilson           ","http://dblp.uni-trier.de/pers/hd/w/Wilson:Mike.html           ","madwilliamflint","True ","True ","False","False","True ","False","True ","False",47998,997,396,0.3972,"2494","698 ","0.2187","519 ","0.1626","58   ","358 ","451  ","0.7938","3 ",
57203,"male  ","NA       ",1,2577,"1  ",885,22565,3780,104,7,6,67,20,2,5,4,1,40,3,2,22,11,0,1,2,1,"kevinmarks     ","Kevin Marks           ","http://dblp.uni-trier.de/pers/hd/m/Marks:Kevin.html           ","kevinmarks     ","True ","True ","False","False","True ","False","True ","False",64526,22565,3780,0.1675,"2311","889 ","0.2778","849 ","0.2653","733  ","183 ","1035 ","0.1768","9 ",
81213,"male  ","NA       ",0,2568,"1  ",1025,2984,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rots           ","Rodrigo Vera          ","http://dblp.uni-trier.de/pers/hd/v/Vera:Rodrigo.html          ","rots           ","True ","True ","False","False","True ","False","False","False",54943,2984,1673,0.5607,"2328","864 ","0.2707","1432","0.4486","30   ","429 ","600  ","0.715 ","4 ",
92623,"male  ","NA       ",1,2567,"10 ",1237,8527,8502,46,0,2,28,2,0,2,0,0,27,0,2,19,2,0,2,0,0,"merlyn         ","Randal L. Schwartz    ","http://dblp.uni-trier.de/pers/hd/s/Schwartz:Randal_L=.html    ","merlyn         ","True ","True ","False","False","True ","False","True ","False",14795,8527,8502,0.9971,"3008","190 ","0.0594","2506","0.7836","1500 ","450 ","3376 ","0.1333","2 ",
101353,"male  ","NA       ",1,2567,"3  ",350,558,255,21,3,1,14,0,2,1,0,0,6,2,0,3,0,2,0,0,0,"willf          ","Will Fitzgerald       ","http://dblp.uni-trier.de/pers/hd/f/Fitzgerald:Will.html       ","willf          ","True ","True ","False","False","True ","False","True ","False",4674,558,255,0.457,"2570","626 ","0.1959","1121","0.3508","89   ","307 ","491  ","0.6253","7 ",
105223,"male  ","NA       ",1,2567,"5  ",351,2462,391,26,4,6,12,10,1,5,1,1,3,0,1,1,2,0,1,0,0,"bensawyer      ","Ben Sawyer            ","http://dblp.uni-trier.de/pers/hd/s/Sawyer:Ben.html            ","bensawyer      ","True ","True ","False","False","True ","False","True ","False",2502,2462,391,0.1588,"2219","282 ","0.1128","513 ","0.2051","299  ","299 ","1107 ","0.2701","8 ",
113963,"male  ","NA       ",1,2567,"36 ",789,54112,115,408,43,27,215,22,16,17,2,0,4,0,0,3,0,0,0,0,0,"Werner         ","Werner Vogels         ","http://dblp.uni-trier.de/pers/hd/v/Vogels:Werner.html         ","Werner         ","True ","True ","False","False","True ","False","True ","False",7514,54112,115,0.0021,"3139","60  ","0.0188","1467","0.4586","689  ","537 ","1598 ","0.336 ","13",
117723,"male  ","NA       ",1,2567,"2  ",602,4181,1462,58,4,4,34,12,3,3,0,1,35,1,1,21,11,1,1,0,0,"torgo          ","Daniel Appelquist     ","http://dblp.uni-trier.de/pers/hd/a/Appelquist:Daniel.html     ","torgo          ","True ","True ","False","False","True ","True ","True ","False",7083,4181,1462,0.3497,"2200","997 ","0.3119","1407","0.4401","621  ","637 ","1502 ","0.4241","13",
152143,"NA    ","professor",1,2566,"15 ",265,5826,657,156,28,31,71,44,7,18,10,10,43,3,16,20,15,0,9,2,5,"eszter         ","Eszter Hargittai      ","http://dblp.uni-trier.de/pers/hd/h/Hargittai:Eszter.html      ","eszter         ","True ","True ","False","False","True ","True ","True ","False",2742,5826,657,0.1128,"2734","13  ","0.0047","457 ","0.1664","44   ","178 ","304  ","0.5855","7 ",
205523,"male  ","NA       ",1,2565,"7  ",806,1041,768,20,5,3,11,7,1,2,2,1,20,5,3,11,7,1,2,2,1,"mcdanger       ","Mark Chen             ","http://dblp.uni-trier.de/pers/hd/c/Chen:Mark.html             ","mcdanger       ","True ","True ","False","False","True ","False","True ","False",7923,1041,768,0.7377,"2792","399 ","0.125 ","637 ","0.1996","360  ","251 ","846  ","0.2967","3 ",
307833,"NA    ","NA       ",1,2560,"4  ",1073,2454,625,69,9,1,42,8,4,1,2,0,18,1,0,13,1,0,0,0,0,"kendall        ","Kendall Clark         ","http://dblp.uni-trier.de/pers/hd/c/Clark:Kendall.html         ","kendall        ","True ","True ","False","False","True ","False","True ","False",69240,2454,625,0.2547,"2707","492 ","0.1538","393 ","0.1229","21   ","87  ","127  ","0.685 ","5 ",
347133,"male  ","NA       ",1,2559,"4  ",1440,162883,204,73,5,16,41,12,3,9,1,3,3,0,2,2,1,0,2,0,0,"srlm           ","Silvio Meira          ","http://dblp.uni-trier.de/pers/hd/m/Meira:Silvio.html          ","srlm           ","True ","True ","False","False","True ","False","True ","False",8704,162883,204,0.0013,"2777","419 ","0.1311","2787","0.872 ","204  ","1034","1626 ","0.6359","4 ",
