id,gender,role,language_english,duration_in_days,publications,organic_tweets,follower_global,followees_global,follower_researcher,follower_researcher_phd,follower_researcher_prof,follower_researcher_male,follower_researcher_female,follower_researcher_male_phd,follower_researcher_male_prof,follower_researcher_female_phd,follower_researcher_female_prof,follower_reciprocal_researcher,follower_reciprocal_researcher_phd,follower_reciprocal_researcher_prof,follower_reciprocal_researcher_male,follower_reciprocal_researcher_female,follower_reciprocal_researcher_male_phd,follower_reciprocal_researcher_male_prof,follower_reciprocal_researcher_female_phd,follower_reciprocal_researcher_female_prof,location_exists,has_url,url_has_tilde,url_has_academic_domain,has_description,description_has_pattern,language,default_profile_image,nof_tweets,nof_followers,nof_friends,friend_follower_ratio,nof_self_tweets,nof_retweets,retweet_tweet_ratio,nof_tweets_with_url,fraction_of_tweets_with_url,nof_conf_hashtags,nof_distinct_hashtags,nof_overall_hashtags,fraction_of_distinct_hashtags,nof_conf_mentions
633,NA    ,NA       ,1,2728,24,277,92876,1056,844,151,98,402,159,54,50,30,18,75,6,18,36,18,1,8,2,6,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,4094,92876,1056,0.0114,2954,242,0.0757,677,0.2118,106,221,363,0.6088,8
722,female,phd      ,1,2728,5,258,18523,754,64,14,12,31,7,5,9,2,2,34,8,10,21,5,3,8,2,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,3692,18523,754,0.0407,3084,115,0.0359,339,0.106,47,122,181,0.674,3
2179,male  ,professor,1,2723,13,243,1897,155,5,1,1,1,4,0,0,1,1,2,0,1,0,2,0,0,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,5167,1897,155,0.0817,3085,112,0.035,914,0.2859,408,541,1165,0.4644,6
2360,NA    ,NA       ,1,2723,8,37,316,169,5,0,0,4,1,0,0,0,0,2,0,0,1,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,475,316,169,0.5348,209,265,0.5591,287,0.6055,55,93,149,0.6242,2
2493,female,professor,1,2722,12,535,626,855,59,14,16,21,19,4,5,6,5,51,10,15,18,15,2,4,4,5,True ,True ,FALSE,True ,True ,True ,True ,FALSE,4674,626,855,1.3658,2810,384,0.1202,876,0.2743,73,243,379,0.6412,7
3252,male  ,NA       ,1,2714,2,1239,13964,320,129,15,7,67,22,8,2,2,1,6,0,1,4,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,23413,13964,320,0.0229,2374,821,0.257,810,0.2535,97,232,503,0.4612,5
5491,NA    ,NA       ,1,2672,18,1,3877,277,173,42,26,71,24,15,11,5,6,34,4,7,17,5,2,4,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,180,3877,277,0.0714,174,6,0.0333,8,0.0444,2,4,5,0.8,1
6735,male  ,NA       ,1,2656,1,742,10691,428,13,0,1,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,9465,10691,428,0.04,2868,324,0.1015,324,0.1015,21,123,133,0.9248,3
9330,male  ,NA       ,1,2631,47,20,217,73,45,4,7,25,7,1,5,1,0,17,2,5,9,3,1,4,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,371,217,73,0.3364,325,44,0.1192,52,0.1409,44,62,121,0.5124,2
11620,male  ,professor,1,2612,57,7,431,275,33,3,2,20,4,2,1,1,0,8,1,1,3,0,1,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,360,431,275,0.638,318,42,0.1167,98,0.2722,62,68,160,0.425,1
