id,name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
672313,aldogangemi    ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.00E+01,1.00E+01,6.00E+00,4.00E+00,7.00E+00,3.00E+01,3.30E+01,4.00E+00,1.80E+01,2.50E+01
680413,duncancragg    ,0.00E+00,1.30E+01,3.00E+00,3.30E+01,4.20E+01,7.90E+01,1.43E+02,9.80E+01,2.75E+02,2.77E+02,3.88E+02,8.70E+01,3.50E+01,1.09E+02
681813,avantgame      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E+03,1.66E+03
688183,abergstrom     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
689933,gamerex        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,3.00E+00,0.00E+00,1.10E+01,1.00E+00,2.00E+00
696333,krave          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.02E+02,1.61E+03,9.09E+02
707893,tomjohnson     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.28E+02,3.76E+02,4.68E+02,3.98E+02,4.93E+02,3.36E+02,1.96E+02,3.01E+02,2.21E+02
711983,ahakim         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.56E+02,6.00E+02,6.53E+02,4.52E+02,4.17E+02,2.58E+02,3.64E+02
722573,jed            ,0.00E+00,6.30E+01,4.20E+01,9.18E+02,1.09E+02,3.30E+01,4.50E+01,5.90E+01,3.00E+01,4.00E+01,5.20E+01,5.00E+01,1.00E+01,3.00E+00
733293,jpatrick       ,0.00E+00,2.00E+00,2.00E+00,1.40E+02,2.38E+02,3.30E+02,3.86E+02,5.90E+01,2.50E+01,3.00E+00,2.10E+01,3.20E+01,3.60E+01,8.10E+01
738853,marks          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E+02,1.49E+03,4.29E+02,5.18E+02,4.45E+02
750093,syardi         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.18E+02,5.28E+02,7.54E+02,1.40E+03
755373,andicat        ,0.00E+00,4.70E+01,2.60E+01,1.13E+02,3.04E+02,4.83E+02,2.83E+02,1.21E+02,4.20E+01,1.28E+02,4.90E+01,9.00E+01,7.60E+01,2.30E+02
755541,WoS            ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.64E+02,7.77E+02,7.77E+02,6.78E+02
756137,mdietz         ,0.00E+00,2.00E+00,1.20E+01,5.31E+02,6.00E+01,3.00E+01,0.00E+00,0.00E+00,0.00E+00,2.00E+00,5.00E+00,4.30E+01,1.50E+01,7.00E+00
759249,deaneckles     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.54E+02,2.28E+03
759574,jbsnyder       ,0.00E+00,1.40E+01,4.10E+01,1.01E+02,4.90E+01,1.80E+01,2.60E+01,4.00E+00,1.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
759720,nitya          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E+03
764953,pabloryr       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+02,6.52E+02,3.71E+02,5.02E+02,3.50E+02,2.41E+02,5.24E+02,3.02E+02
765548,hmason         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.58E+02,1.05E+03,6.70E+02,7.24E+02
775791,steveburnett   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.50E+02,1.23E+03,9.71E+02,1.78E+02,1.54E+02
778607,viller         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.76E+02,5.49E+02,7.80E+02,5.49E+02,6.58E+02
779113,comay          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+03,1.95E+03
780290,PaulMiller     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E+03,1.06E+03,6.65E+02,4.95E+02
782364,lychen1109     ,0.00E+00,6.60E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
788498,rbanks         ,0.00E+00,0.00E+00,3.10E+01,7.56E+02,3.39E+02,3.52E+02,4.41E+02,2.94E+02,1.86E+02,4.14E+02,1.95E+02,1.23E+02,6.10E+01,1.20E+01
790517,scharlau       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.22E+02,8.18E+02,7.43E+02,4.83E+02,4.72E+02
790550,uli            ,0.00E+00,1.08E+02,2.24E+02,4.30E+02,1.98E+02,1.20E+02,1.57E+02,7.90E+01,7.30E+01,4.70E+01,6.20E+01,2.00E+01,8.00E+00,6.00E+00
801282,chl            ,0.00E+00,0.00E+00,0.00E+00,1.33E+02,5.67E+02,8.90E+02,3.65E+02,3.19E+02,3.77E+02,2.89E+02,7.00E+01,8.10E+01,5.90E+01,4.60E+01
801346,rpechter       ,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.00E+00,2.00E+00,1.30E+01,5.00E+00,1.20E+01,2.00E+00,2.00E+00,4.00E+01,3.40E+01,7.00E+00
803925,kolari         ,0.00E+00,5.70E+01,1.20E+01,4.40E+01,3.20E+01,2.00E+00,1.60E+01,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.23E+02
804749,PeterBell      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E+02,1.85E+03,9.63E+02
807515,jonfroehlich   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E+02,1.88E+02,3.52E+02,3.60E+02,2.67E+02,3.59E+02,5.12E+02,4.02E+02,2.04E+02,3.89E+02
808627,StevenLevy     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.33E+02,9.64E+02,8.62E+02,5.31E+02,4.15E+02
808824,kmakice        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.30E+01,1.43E+03,1.04E+03,6.15E+02
811883,regisb         ,0.00E+00,2.00E+00,1.00E+00,6.40E+01,1.26E+02,2.82E+02,5.57E+02,4.61E+02,5.64E+02,1.47E+02,4.54E+02,2.15E+02,1.03E+02,8.40E+01
813188,matttrent      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,6.68E+02,1.08E+03,7.57E+02,3.83E+02
815903,timFinin       ,0.00E+00,2.80E+01,6.00E+00,4.00E+00,4.20E+01,4.90E+01,3.50E+01,7.40E+01,1.00E+00,3.10E+01,1.00E+01,9.20E+01,6.00E+01,1.25E+02
816824,ryanhlv        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
817141,cwilso         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.02E+02,1.36E+03,6.69E+02,6.92E+02
817382,imjuhokim      ,0.00E+00,8.00E+01,8.50E+01,7.20E+01,3.63E+02,2.70E+02,1.19E+02,1.96E+02,1.89E+02,1.27E+02,9.40E+01,5.00E+01,1.45E+02,3.01E+02
817540,mhausenblas    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.33E+03,9.16E+02
823083,migueldeicaza  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
823610,jacquette      ,0.00E+00,2.00E+01,0.00E+00,1.36E+02,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.60E+01,1.70E+01,5.00E+00,4.00E+00,2.00E+00,4.40E+01
859841,anjchang       ,0.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E+01,1.30E+02,6.70E+01,2.13E+02,1.68E+02,1.28E+02,2.53E+02,3.71E+02,1.56E+02
864701,POrg           ,0.00E+00,3.60E+01,1.78E+02,1.43E+02,4.64E+02,2.83E+02,2.53E+02,1.83E+02,2.88E+02,2.50E+02,3.57E+02,2.41E+02,2.14E+02,3.03E+02
884741,ehud           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.13E+02,2.73E+03
886081,LaBlogga       ,0.00E+00,7.00E+00,3.20E+01,1.56E+02,7.30E+01,6.40E+01,7.80E+01,8.50E+01,8.50E+01,4.80E+01,2.00E+01,6.00E+00,1.30E+01,5.00E+00
892561,jcsmith        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.97E+02,1.19E+02,1.10E+01,3.30E+01,2.40E+02,1.15E+02,8.14E+02,8.70E+02,2.26E+02
899701,netik          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E+02,1.18E+03,1.25E+03,1.79E+02,1.16E+02
913841,Stimme         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.79E+02,1.70E+03,1.33E+03
985931,mojoneill      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.75E+02,5.35E+02,6.74E+02,4.82E+02,4.27E+02,1.43E+02,3.90E+01,4.30E+01,6.00E+00
1014471,dvallet        ,0.00E+00,1.20E+01,1.00E+00,1.00E+00,0.00E+00,6.00E+00,3.10E+01,2.20E+01,9.00E+00,7.00E+00,9.00E+00,1.00E+00,5.00E+00,0.00E+00
1015041,avandale       ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,9.00E+00,1.10E+01,7.00E+00,1.84E+02,1.00E+02,1.31E+02,2.20E+02,1.71E+02,1.17E+02,6.40E+01
1015341,spinuzzi       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E+02,7.65E+02,7.80E+02,9.60E+02
1031591,mcdonald       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.27E+02,1.26E+03,6.19E+02,2.34E+02,3.15E+02,2.50E+02
1033841,billhd         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.66E+02,2.48E+03
1039531,zittrain       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.71E+02,9.18E+02,9.06E+02,8.31E+02
1051171,EthanZ         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E+02,2.28E+03
1062201,johnbuckley    ,0.00E+00,4.08E+02,1.78E+02,1.42E+02,4.80E+01,1.00E+01,8.00E+00,4.00E+00,4.00E+00,8.00E+00,1.70E+01,2.10E+01,1.00E+00,3.00E+00
1078971,marika75       ,0.00E+00,3.32E+02,3.60E+02,2.05E+02,2.69E+02,2.34E+02,3.12E+02,2.52E+02,1.73E+02,3.00E+01,1.00E+00,3.00E+00,2.00E+00,4.00E+00
1099471,johnstonfilm   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.00E+00,2.70E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1104551,bentley79      ,0.00E+00,9.00E+00,5.00E+00,4.00E+00,5.40E+01,3.30E+01,4.70E+01,6.20E+01,1.01E+02,5.00E+01,4.90E+01,4.80E+01,4.80E+01,4.40E+01
1111871,CaptSolo       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.36E+02,1.69E+03,1.08E+03
1119501,RichardMcDougll,0.00E+00,3.00E+00,0.00E+00,8.90E+01,1.61E+02,7.10E+01,1.10E+02,9.30E+01,2.80E+01,7.20E+01,8.00E+00,2.00E+00,1.80E+01,9.00E+00
1121591,mamund         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E+03,1.77E+03
1147031,briankelly     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+03,1.21E+03,2.71E+02,1.58E+02,1.51E+02,9.50E+01,2.50E+01
1148081,dumbledad      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.04E+02,4.41E+02,5.45E+02,5.58E+02,2.85E+02,1.81E+02,2.45E+02,2.45E+02,1.72E+02,2.50E+02
1153581,terraces       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1175221,digiphile      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
1179641,ehrlichja      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1230801,morville       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.81E+02,1.39E+03,8.77E+02,5.83E+02
1235151,lackaff        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+02,3.26E+02,4.22E+02,4.59E+02,5.11E+02,4.70E+02,4.19E+02,1.34E+02,1.59E+02
1235521,timbray        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E+03,1.88E+03
1246421,danbri         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+03
1289331,Fortran        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.35E+02
