,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
willf          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.40E+01,1.06E+03,5.31E+02,3.89E+02,4.90E+02,4.67E+02,2.09E+02
bensawyer      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E+02,1.82E+02,1.93E+02,1.12E+03,6.88E+02,4.34E+02,2.08E+02
Werner         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E+02,7.78E+02,7.55E+02,7.16E+02,4.67E+02,1.97E+02,1.53E+02
torgo          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.40E+02,1.49E+03,1.16E+03
eszter         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+01,2.12E+02,3.73E+02,4.37E+02,3.13E+02,2.22E+02,2.68E+02,2.27E+02,5.85E+02,5.66E+02
mcdanger       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E+03,6.26E+02,5.49E+02,7.29E+02,2.12E+02
kendall        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E+03
srlm           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.44E+02,1.71E+03,1.26E+03
ciro           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.27E+03,1.11E+03,8.45E+02
ashok          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.59E+02,7.16E+02,1.03E+03,7.22E+02
slacko         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
fstutzman      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E+02,5.37E+02,4.57E+02,5.96E+02,7.88E+02,2.76E+02,1.87E+02,2.46E+02
m_tesconi      ,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,1.10E+01,1.17E+02,3.28E+02,1.58E+02,6.20E+01,2.10E+01,1.10E+01,2.40E+01,3.00E+01
rberger        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.23E+03
Mat_Jack1      ,0.00E+00,7.50E+01,1.30E+01,1.30E+01,7.50E+01,1.20E+01,1.91E+02,2.80E+02,9.30E+01,6.90E+01,7.90E+01,1.22E+02,1.16E+02,8.20E+01
SergeStinckwich,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E+02,2.90E+03
mza            ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E+02,4.11E+02,2.03E+02,3.72E+02,3.27E+02,7.47E+02,6.47E+02,1.79E+02
Manas          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+01,4.22E+02,7.60E+02,4.59E+02,3.14E+02,2.46E+02,3.49E+02,2.40E+01,1.81E+02,3.65E+02
meyerweb       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
kevinrose      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,7.24E+02,7.53E+02,5.91E+02,4.24E+02,4.09E+02,2.41E+02,7.60E+01
slangevi       ,0.00E+00,7.30E+01,1.14E+02,1.89E+02,3.76E+02,1.84E+02,9.90E+01,6.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
grorg          ,0.00E+00,3.40E+01,4.00E+01,7.00E+01,3.80E+01,4.70E+01,1.83E+02,6.50E+01,2.03E+02,1.74E+02,1.23E+02,0.00E+00,0.00E+00,9.50E+01
aldogangemi    ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.00E+01,1.00E+01,6.00E+00,4.00E+00,7.00E+00,3.00E+01,3.30E+01,4.00E+00,1.80E+01,2.50E+01
duncancragg    ,0.00E+00,1.30E+01,3.00E+00,3.30E+01,4.20E+01,7.90E+01,1.43E+02,9.80E+01,2.75E+02,2.77E+02,3.88E+02,8.70E+01,3.50E+01,1.09E+02
avantgame      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E+03,1.66E+03
abergstrom     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
gamerex        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E+01,3.00E+00,0.00E+00,1.10E+01,1.00E+00,2.00E+00
krave          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.02E+02,1.61E+03,9.09E+02
tomjohnson     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.28E+02,3.76E+02,4.68E+02,3.98E+02,4.93E+02,3.36E+02,1.96E+02,3.01E+02,2.21E+02
ahakim         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.56E+02,6.00E+02,6.53E+02,4.52E+02,4.17E+02,2.58E+02,3.64E+02
jed            ,0.00E+00,6.30E+01,4.20E+01,9.18E+02,1.09E+02,3.30E+01,4.50E+01,5.90E+01,3.00E+01,4.00E+01,5.20E+01,5.00E+01,1.00E+01,3.00E+00
jpatrick       ,0.00E+00,2.00E+00,2.00E+00,1.40E+02,2.38E+02,3.30E+02,3.86E+02,5.90E+01,2.50E+01,3.00E+00,2.10E+01,3.20E+01,3.60E+01,8.10E+01
marks          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E+02,1.49E+03,4.29E+02,5.18E+02,4.45E+02
syardi         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.18E+02,5.28E+02,7.54E+02,1.40E+03
