,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
marciomribeiro ,0.00E+00,0.00E+00,0.00E+00,2.29E+02,9.10E+01,3.74E+02,1.28E+02,1.10E+01,3.60E+01,4.40E+01,6.20E+01,5.80E+01,6.90E+01,6.10E+01
onemorehill    ,0.00E+00,0.00E+00,0.00E+00,1.35E+02,6.50E+01,1.00E+01,1.97E+02,2.05E+02,1.45E+02,1.00E+01,2.40E+01,6.50E+01,3.40E+01,3.00E+00
Praeteritio    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.06E+02,9.35E+02,7.08E+02,2.91E+02,3.49E+02,3.05E+02,2.04E+02,6.80E+01,6.90E+01
Cogence        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,1.50E+01,3.00E+00,1.70E+01,1.00E+00,1.00E+00,2.40E+01,1.30E+01
osarood        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.00E+00,0.00E+00,1.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E+01,3.80E+01
letpeter       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
theonlygnome   ,0.00E+00,0.00E+00,0.00E+00,1.37E+02,1.39E+02,4.80E+01,2.30E+01,1.80E+01,6.80E+01,4.20E+01,2.20E+01,1.13E+02,1.60E+01,3.00E+00
christianbird  ,0.00E+00,0.00E+00,0.00E+00,1.60E+01,0.00E+00,1.60E+01,6.00E+00,3.00E+00,1.30E+01,2.10E+01,7.90E+01,6.00E+00,7.00E+00,7.00E+00
Sharpcut       ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,2.00E+00,6.30E+01,5.70E+01,2.10E+01,1.73E+02,3.93E+02,4.90E+01,6.60E+01,6.60E+01
oniroi         ,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.90E+01,3.20E+01,9.00E+01,1.58E+02,2.89E+02,2.81E+02,2.80E+02,2.73E+02,2.71E+02,2.40E+02
haipengzhang   ,0.00E+00,0.00E+00,0.00E+00,2.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
damok6         ,0.00E+00,0.00E+00,0.00E+00,3.20E+01,8.00E+00,3.00E+00,0.00E+00,1.00E+00,9.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.00E+00
thehevy        ,0.00E+00,0.00E+00,0.00E+00,3.20E+01,4.20E+01,6.50E+01,1.43E+02,4.40E+01,3.90E+01,2.90E+01,6.00E+00,9.00E+00,5.00E+00,1.70E+01
OddWiking      ,0.00E+00,0.00E+00,0.00E+00,5.00E+01,4.90E+01,1.05E+02,7.00E+01,8.80E+01,8.20E+01,8.90E+01,8.30E+01,9.10E+01,9.90E+01,9.80E+01
horiyo         ,0.00E+00,0.00E+00,0.00E+00,2.70E+01,3.47E+02,3.06E+02,2.32E+02,1.48E+02,4.80E+01,1.90E+01,2.70E+01,4.20E+01,5.80E+01,5.10E+01
jwolfepr       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
markmicallef   ,0.00E+00,0.00E+00,0.00E+00,4.21E+02,2.51E+02,7.90E+01,6.00E+00,1.20E+01,0.00E+00,0.00E+00,2.00E+00,5.00E+00,0.00E+00,4.00E+00
amcordier      ,0.00E+00,0.00E+00,0.00E+00,1.80E+01,5.00E+00,3.00E+00,1.20E+01,9.00E+00,1.00E+01,1.00E+01,1.45E+02,5.44E+02,3.55E+02,9.80E+01
Wise07         ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00
iqbalmohomed   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.50E+01,7.80E+01,1.10E+01,1.00E+00,9.00E+00,5.00E+00,4.00E+00,3.00E+00,0.00E+00,2.00E+00
pingthink      ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,6.00E+00,0.00E+00,3.00E+00,2.00E+00,7.00E+00,7.20E+01,1.70E+01,4.00E+00,0.00E+00,1.00E+00
kodemaniak     ,0.00E+00,0.00E+00,0.00E+00,1.05E+02,4.70E+01,2.60E+01,5.00E+01,2.10E+01,6.10E+01,6.70E+01,6.90E+01,1.15E+02,3.90E+01,3.10E+01
rknepper       ,0.00E+00,0.00E+00,0.00E+00,5.00E+01,1.03E+02,1.19E+02,5.80E+01,3.10E+01,3.60E+01,2.40E+01,4.00E+00,5.00E+00,3.00E+01,5.50E+01
yesilady       ,0.00E+00,0.00E+00,0.00E+00,1.28E+02,2.20E+01,6.90E+01,2.66E+02,1.30E+01,2.00E+01,1.31E+02,2.40E+01,2.00E+00,2.90E+01,2.30E+01
akastrin       ,0.00E+00,0.00E+00,0.00E+00,9.60E+01,3.10E+01,2.35E+02,3.66E+02,2.38E+02,2.96E+02,2.02E+02,1.59E+02,2.45E+02,1.41E+02,1.42E+02
abhiag         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
warunapww      ,0.00E+00,0.00E+00,0.00E+00,8.60E+01,1.34E+02,1.05E+02,1.20E+01,4.30E+01,1.50E+01,8.00E+00,2.00E+00,1.00E+00,0.00E+00,1.00E+00
GatorGump      ,0.00E+00,0.00E+00,0.00E+00,7.30E+01,7.40E+01,1.00E+01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
nes1983        ,0.00E+00,0.00E+00,0.00E+00,6.51E+02,8.85E+02,3.42E+02,4.38E+02,1.03E+02,1.27E+02,2.00E+00,3.00E+00,1.00E+00,3.00E+00,1.00E+00
claudadamo     ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,4.80E+01,6.41E+02,3.99E+02,1.41E+02,5.40E+01,5.00E+01,3.00E+00,0.00E+00,1.60E+01
Grahaphics     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E+02,3.37E+02,3.04E+02,3.04E+02,3.17E+02,3.51E+02,4.46E+02,5.88E+02,3.02E+02
jeff_stern     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E+02,7.75E+02,4.31E+02,5.94E+02,8.66E+02,1.97E+02,6.10E+01,4.70E+01,6.30E+01
isagasp        ,0.00E+00,0.00E+00,0.00E+00,5.30E+01,1.57E+02,3.27E+02,1.75E+02,1.54E+02,2.20E+01,8.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00
oliverbrdiczka ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,6.00E+01,5.00E+00,4.00E+00,5.00E+00,1.71E+02,9.30E+01,1.50E+01,0.00E+00,0.00E+00,2.00E+00
sutambe        ,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.00E+01,0.00E+00,2.10E+01,4.20E+01,4.37E+02,3.45E+02,8.10E+01,6.20E+01,5.40E+01,4.10E+01
chihirosato    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+01,1.05E+03,8.17E+02,4.11E+02,2.67E+02,2.22E+02,1.74E+02,1.50E+02,1.02E+02
DimensionalEye ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E+02,3.04E+03
jfcanny        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
brendancleary1 ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.10E+02,4.80E+01,0.00E+00,4.00E+00,1.70E+01,1.60E+01,1.60E+01,1.00E+00
chrvoigt       ,0.00E+00,0.00E+00,0.00E+00,3.10E+01,1.76E+02,3.20E+02,2.61E+02,1.64E+02,2.52E+02,3.43E+02,3.43E+02,4.61E+02,3.73E+02,2.26E+02
javier_artiles ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00
gingdottwit    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E+02,1.26E+03,1.63E+03
joshingstern   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Rickthesaint   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,0.00E+00,0.00E+00
thorsheim      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.90E+01,3.18E+03
orenzuckerman  ,0.00E+00,0.00E+00,0.00E+00,1.40E+01,6.50E+01,2.90E+01,1.30E+01,1.00E+00,1.00E+00,3.00E+00,4.00E+00,3.00E+00,9.00E+00,1.00E+00
myriancac      ,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,4.00E+00,4.00E+00,0.00E+00,0.00E+00,3.20E+01,4.70E+01,3.02E+02,2.09E+02,7.10E+01
ActuallyMRJ    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
shenentong     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
jsanpe         ,0.00E+00,0.00E+00,0.00E+00,6.80E+01,1.36E+02,2.45E+02,2.44E+02,1.21E+02,1.74E+02,1.08E+02,8.10E+01,6.10E+01,5.00E+00,1.00E+00
dale_strok     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
jphourcade     ,0.00E+00,0.00E+00,0.00E+00,1.90E+01,2.84E+02,1.51E+02,1.28E+02,8.10E+01,6.40E+01,3.20E+01,3.10E+01,1.90E+01,1.10E+01,2.80E+01
laurentduval   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.60E+01,1.38E+03,1.74E+03
ozsu           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,2.40E+01,1.16E+02,7.10E+01,1.43E+02,3.16E+02,4.78E+02,5.68E+02,7.37E+02
ghoostaf       ,0.00E+00,0.00E+00,0.00E+00,4.75E+02,1.03E+03,6.32E+02,4.35E+02,3.80E+01,3.00E+00,1.30E+01,3.80E+01,6.90E+01,0.00E+00,1.00E+00
FredrikHeintz  ,0.00E+00,0.00E+00,0.00E+00,1.60E+01,2.20E+01,4.20E+01,4.16E+02,2.94E+02,1.94E+02,6.25E+02,2.54E+02,3.07E+02,3.56E+02,3.14E+02
hinashah4      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
txdonovan      ,0.00E+00,0.00E+00,0.00E+00,6.60E+01,6.70E+01,2.80E+01,3.90E+01,1.40E+01,5.00E+00,1.00E+00,0.00E+00,6.00E+00,1.00E+00,4.00E+00
thundercarrot  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
richard2799    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,7.00E+00,0.00E+00,3.00E+00,1.00E+00,7.00E+00,0.00E+00,4.00E+00
karpathy       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+02,9.37E+02,6.57E+02,4.68E+02,2.83E+02,2.71E+02
silviorrcosta  ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,8.00E+00,9.00E+00,1.00E+01,1.00E+01,9.00E+00
EigenAuction   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.07E+02,1.44E+03,1.11E+03
nikolau        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
JoaoPSMedeiros ,0.00E+00,0.00E+00,0.00E+00,8.00E+00,3.00E+00,2.40E+01,1.00E+00,0.00E+00,0.00E+00,1.67E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
disasteraverted,0.00E+00,0.00E+00,0.00E+00,1.42E+02,1.82E+02,2.05E+02,1.20E+01,1.40E+01,9.00E+00,8.00E+00,2.17E+02,3.70E+01,0.00E+00,0.00E+00
glimming       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+01,4.00E+00,3.80E+01,5.90E+01,3.60E+01,2.33E+02,3.62E+02,3.33E+02,6.40E+02,8.13E+02
okanarikan     ,0.00E+00,0.00E+00,0.00E+00,1.01E+02,2.60E+01,1.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
vangelis       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
cclljj         ,0.00E+00,0.00E+00,0.00E+00,6.20E+01,4.20E+01,2.90E+01,0.00E+00,2.00E+00,9.70E+01,1.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00
pautasso       ,0.00E+00,0.00E+00,0.00E+00,9.30E+01,2.78E+02,3.50E+02,2.82E+02,2.23E+02,2.17E+02,2.45E+02,2.52E+02,3.04E+02,2.64E+02,1.12E+02
pharion3d      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E+02,1.06E+03,4.39E+02,5.27E+02,2.50E+02,1.39E+02,1.50E+02,1.42E+02,7.50E+01,2.40E+01
edesmontils    ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,4.00E+00,3.29E+02,6.87E+02,3.64E+02,1.70E+02,5.20E+01,4.60E+01,2.20E+01,2.00E+01,1.70E+01
ParaicS        ,0.00E+00,0.00E+00,0.00E+00,3.24E+02,3.13E+02,3.70E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sunday9pm      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E+02,1.16E+03,9.83E+02,8.40E+02
spassas        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.64E+03,6.62E+02,3.57E+02,2.72E+02,1.31E+02,1.24E+02,5.20E+01,4.00E+00,1.00E+00
puffnfresh     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.78E+02,1.40E+03,8.54E+02
DrDJBell       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.70E+01,3.00E+00,1.30E+01,6.00E+00,1.40E+01,3.70E+01,1.00E+01,7.00E+00
muratdemirbas  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E+02,1.37E+03,1.16E+03
bcsilverthorn  ,0.00E+00,0.00E+00,0.00E+00,4.20E+01,2.10E+01,3.40E+01,3.80E+01,2.90E+01,2.00E+01,5.30E+01,8.00E+00,1.50E+01,3.00E+00,2.00E+00
yasein         ,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
belnunes       ,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,2.50E+01,8.80E+01,2.00E+01,1.10E+01,2.30E+01,3.00E+00,0.00E+00,0.00E+00,0.00E+00
dtoddao        ,0.00E+00,0.00E+00,0.00E+00,5.00E+00,2.40E+01,5.00E+00,1.00E+01,1.40E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
bithead_bob    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,9.00E+01,7.00E+01,4.70E+01,1.00E+00,9.10E+01,1.23E+02,1.79E+02,8.50E+01,6.10E+01
camenal        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.00E+00,0.00E+00,1.00E+00,6.00E+00,1.00E+00,8.70E+01
LupusLux       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.20E+01,5.80E+01,1.60E+01,2.00E+00,0.00E+00,0.00E+00,1.00E+00,2.60E+01,2.70E+01
JenniferPriceMN,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ethanwhite     ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
PierreCrescenzo,0.00E+00,0.00E+00,0.00E+00,3.20E+01,2.90E+01,6.20E+01,1.65E+02,1.70E+02,1.51E+02,4.44E+02,6.25E+02,2.70E+02,5.15E+02,7.39E+02
KasunBG        ,0.00E+00,0.00E+00,0.00E+00,4.40E+01,1.74E+03,5.82E+02,4.60E+01,2.70E+01,7.00E+00,0.00E+00,1.00E+01,5.00E+00,3.20E+01,4.30E+01
antoniocapo10  ,0.00E+00,0.00E+00,0.00E+00,1.40E+01,1.80E+01,1.00E+01,5.00E+00,1.50E+01,1.00E+00,5.00E+00,8.10E+01,1.20E+01,2.00E+00,3.00E+00
freddy_priyatna,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,0.00E+00,2.80E+01,3.70E+01,5.20E+01,5.50E+01,2.29E+02,1.73E+02,2.19E+02,2.66E+02
sagrw          ,0.00E+00,0.00E+00,0.00E+00,1.50E+01,4.00E+00,3.30E+01,1.70E+01,7.00E+00,8.00E+00,8.00E+00,1.40E+01,1.00E+01,1.00E+00,0.00E+00
kaikuikkaniemi ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.30E+01,3.00E+00,3.00E+00,4.00E+00,3.00E+00
arminkam       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
josephbonneau  ,0.00E+00,0.00E+00,0.00E+00,5.00E+00,4.00E+00,0.00E+00,5.00E+00,3.50E+01,3.70E+01,5.60E+01,1.30E+01,9.00E+00,1.00E+00,2.00E+00
CBRJohn        ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,4.80E+02,1.68E+02,1.04E+02,2.30E+01,2.59E+02,3.10E+02,7.90E+01,5.80E+01,2.60E+01,2.90E+01
simulalex      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
alpgarcia      ,0.00E+00,0.00E+00,0.00E+00,1.93E+02,1.88E+02,1.19E+02,5.70E+01,1.60E+01,1.40E+01,3.00E+01,2.90E+01,4.80E+01,6.90E+01,7.00E+00
dlowd          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E+02,1.23E+02,5.90E+01,2.07E+02,2.41E+02,4.25E+02,7.81E+02,5.63E+02,7.12E+02
cerenbudak     ,0.00E+00,0.00E+00,0.00E+00,2.00E+00,2.00E+00,1.70E+01,1.00E+00,0.00E+00,1.00E+00,8.00E+00,5.80E+01,2.10E+01,2.80E+01,4.80E+01
bobgrossman    ,0.00E+00,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,0.00E+00,0.00E+00,2.60E+01,4.70E+01,2.80E+01,1.70E+01
michael_muller ,0.00E+00,0.00E+00,0.00E+00,4.02E+02,4.70E+01,9.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
taehwalee      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E+03,7.74E+02,1.06E+03
idonttwitt3r   ,0.00E+00,0.00E+00,0.00E+00,1.23E+02,1.23E+02,2.27E+02,7.00E+01,1.10E+01,1.00E+00,1.00E+00,0.00E+00,0.00E+00,4.00E+00,1.00E+01
dvdeurse       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.50E+01,1.38E+02,2.25E+02,6.10E+01,3.70E+01,3.90E+01,5.30E+01,1.90E+01,6.00E+00,0.00E+00
bhargavkanagal ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
philarcher1    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.21E+02,5.04E+02,5.65E+02,5.38E+02,3.70E+02,4.55E+02
erikmannens    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,5.20E+01,7.70E+01,8.40E+01,7.20E+01,6.60E+01,9.70E+01,2.70E+01,4.10E+01
aschulm        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
markusvoelter  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.83E+02,2.26E+03
sas_runi       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,8.10E+01,2.70E+01,1.00E+00,1.00E+00,1.00E+00,2.00E+00,0.00E+00,0.00E+00,4.00E+00
diegodermeval  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
pboudoin       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,9.00E+00,8.00E+00,1.70E+01,9.00E+00,6.00E+00,0.00E+00,2.20E+01,2.20E+01,1.60E+01
marckurz       ,0.00E+00,0.00E+00,0.00E+00,1.20E+01,1.00E+00,1.30E+01,6.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E+01,4.00E+00,1.00E+00,0.00E+00
shrodger       ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
shiyinghao     ,0.00E+00,0.00E+00,0.00E+00,1.00E+02,1.00E+01,1.00E+01,1.11E+02,5.20E+01,1.90E+01,5.60E+01,1.40E+01,1.10E+01,2.70E+01,0.00E+00
kazushi_       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.17E+03
krishnenduroy  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,5.00E+00,1.00E+00,2.00E+00,1.00E+01,5.00E+00
darko_anicic   ,0.00E+00,0.00E+00,0.00E+00,7.00E+00,3.00E+00,5.00E+00,5.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
jaysonturner   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
rcamposrp      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.85E+02,6.43E+02,3.06E+02,6.20E+01,5.24E+02,4.87E+02,8.20E+01,7.80E+01
kviggers       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
arnejanse      ,0.00E+00,0.00E+00,0.00E+00,1.50E+01,1.30E+01,5.00E+00,7.00E+00,5.00E+00,6.00E+00,5.00E+00,3.00E+00,1.20E+01,4.00E+00,7.00E+00
cpindat        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
noreenkamal    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.10E+01,1.72E+02,2.63E+02,7.50E+01,4.40E+01,7.80E+01,8.60E+01,8.80E+01,9.90E+01,1.65E+02
lauracarletti  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.40E+01,6.20E+01,4.37E+02,4.93E+02,4.85E+02,5.54E+02,2.24E+02,3.20E+01,1.60E+01
alangray3      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Tillirix       ,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.12E+02,1.33E+02,9.00E+00,9.60E+01,8.40E+01,5.20E+01,2.10E+01,7.00E+00,1.20E+01,1.00E+00
xuenliang      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
GabiPaolini    ,0.00E+00,0.00E+00,0.00E+00,5.00E+00,8.80E+01,1.37E+02,2.98E+02,2.77E+02,2.61E+02,5.36E+02,4.56E+02,1.01E+02,1.06E+02,2.19E+02
